term	genes	type	name	parents
R-HSA-6799198	Q8IUX1;Q9NPL8;O75306;O43674;P28331;O95168;Q9UI09;Q9NX14;Q16718;Q9P0J0;Q5TEU4;Q330K2;P03905;Q8TB37;O43181;Q7L592;O43920;Q9BU61;O75489;Q9Y375;O14561;Q9BQ95;Q9H845;P49821;O15239;O43678;O95167;O95139;P03891;O43677;P03923;O75251;Q9P032;O43676;O95169;Q9Y6M9;O95299;P56556;P51970;O95178;P19404;O75380;P56181;O75438;P03886;Q8N183;O95298;P03897;O00217;O95182;Q16795;Q86Y39;P17568;O96000;P03915	Metabolism	Complex I biogenesis	R-HSA-611105
R-HSA-6799990	P02788;P05109;P06702;P31151;Q86SG5;P80188	Immune System	Metal sequestration by antimicrobial proteins	R-HSA-6803157
R-HSA-6802946	P04049;P61224;P62834;P01111;P01116;P36507;P05106;Q16584;P01112;Q13557;P35232;P27448;P12931;P10398;P63261;P31946;P15056;Q7Z5R6;P49407;P32121;Q969H4;Q8WXI2;P41240;Q7Z569;Q13555;P60709;P08514;P02671;P0DP23;P02675;O60674;Q6VAB6;P27361;Q9UQM7;P02679;P02751;P28482;Q02750;Q13554;Q8IVT5;P18206;Q9Y490;P46940;P30086;P04275	Disease	Signaling by moderate kinase activity BRAF mutants	R-HSA-6802957
R-HSA-6802948	P04049;P61224;P62834;P01111;P01116;P36507;P05106;P01112;P27448;P12931;P10398;P63261;P31946;P15056;Q7Z5R6;P49407;P32121;Q969H4;Q8WXI2;P41240;P60709;P08514;P02671;P02675;Q6VAB6;P27361;P02679;P02751;P28482;Q02750;Q8IVT5;P18206;Q9Y490;P46940;P30086;P04275	Disease	Signaling by high-kinase activity BRAF mutants	R-HSA-6802957
R-HSA-6802949	P01111;P01116;P01112;P04049;P61224;P62834;P36507;P05106;Q16584;Q13557;P35232;P27448;P12931;P10398;P63261;P31946;P15056;Q7Z5R6;P49407;P32121;Q969H4;Q8WXI2;P41240;Q7Z569;Q13555;P60709;P08514;P02671;P0DP23;P02675;O60674;Q6VAB6;P27361;Q9UQM7;P02679;P02751;P28482;Q02750;Q13554;Q8IVT5;P18206;Q9Y490;P46940;P30086;P04275	Disease	Signaling by RAS mutants	R-HSA-6802957
R-HSA-6802952	P04049;Q86XD5;Q7KZF4;P61224;P62834;Q96PU8;P01111;P01116;Q5XG87;P36507;P05106;P01112;Q13557;O15164;Q6ZMT4;P27448;P12931;P10398;Q6NXG1;P63261;P31946;Q6RW13;Q99996;P15056;Q7Z5R6;P49407;P32121;Q969H4;P51797;Q8WXI2;O95352;P41240;Q53H12;Q8N302;O00203;Q13555;P60709;Q9HCM3;P08514;P02671;Q9NRY5;P0DP23;P02675;P51114;O60674;Q6VAB6;P27361;Q9UQM7;P02679;P02751;P28482;O43252;Q6WCQ1;Q02750;Q13554;Q8IVT5;P18206;Q9Y490;P46940;P30086;P02545;Q7Z2W4;P04275;Q9UPV9;O43521	Disease	Signaling by BRAF and RAF1 fusions	R-HSA-6802957
R-HSA-6802953	Q2MJR0;P21359;P01111;P01116;P01112;Q7Z698;Q7Z699	Disease	RAS signaling downstream of NF1 loss-of-function variants	R-HSA-6802957
R-HSA-6802955	P04049;P61224;P62834;P01111;P01116;P36507;P05106;Q16584;P01112;Q13557;P35232;P27448;P12931;P10398;P63261;P31946;P15056;Q7Z5R6;P49407;P32121;Q969H4;Q8WXI2;P41240;Q7Z569;Q13555;P60709;P08514;P02671;P0DP23;P02675;O60674;Q6VAB6;P27361;Q9UQM7;P02679;P02751;P28482;Q02750;Q13554;Q8IVT5;P18206;Q9Y490;P46940;P30086;P04275	Disease	Paradoxical activation of RAF signaling by kinase inactive BRAF	R-HSA-6802957
R-HSA-6802957	P04049;P61224;P62834;P01111;P01116;P36507;P05106;Q16584;P01112;Q13557;P35232;P27448;P12931;P10398;P63261;P31946;P15056;Q7Z5R6;P49407;P32121;Q969H4;Q8WXI2;P41240;Q7Z569;Q13555;P60709;P08514;P02671;P0DP23;P02675;O60674;Q6VAB6;P27361;Q9UQM7;P02679;P02751;P28482;Q02750;Q13554;Q8IVT5;P18206;Q9Y490;P46940;P30086;P04275;Q86XD5;Q7KZF4;Q96PU8;Q5XG87;O15164;Q6ZMT4;Q6NXG1;Q6RW13;Q99996;P51797;O95352;Q53H12;Q8N302;O00203;Q9HCM3;Q9NRY5;P51114;O43252;Q6WCQ1;P02545;Q7Z2W4;Q9UPV9;O43521;Q2MJR0;P21359;Q7Z698;Q7Z699;Q99956;Q16829;Q13202;Q16828;Q9BY84;Q9Y6W6;O14807;P62140;P36873;Q9UQ13	Disease	Oncogenic MAPK signaling	R-HSA-5663202
R-HSA-6803157	Q06141;Q93091;P04279;P02788;Q96PD5;P24158;Q9H1E1;Q6UW15;Q96LB8;O75594;P61626;P14555;Q8TDE3;P15516;P10645;P59827;P10909;Q96DR5;Q8N4F0;P08311;P08246;P49913;Q8NFQ5;Q9NP55;Q8TDL5;P17213;P81605;P22749;O95925;Q8WWA0;P15515;P19957;P12724;Q969E1;P07478;Q96LB9;P35030;P05109;P06702;P31151;Q86SG5;P80188;Q5EBL8;P49279;Q04656;O00244;Q30KQ3;P0DP73;P59861;Q01523;P0DP74;Q7Z7B8;P12838;Q8N687;Q9BYW3;Q8NG35;Q8NES8;Q30KQ9;O15263;P81534;Q8WTQ1;Q01524;Q9H1M3;Q8N104;Q8N690;Q8IZN7;P60022;P59666;Q30KQ7;Q30KQ4;P59665;Q7Z7B7;Q30KP9;Q8NET1;Q8N688;Q30KQ1;Q30KQ5;Q5J5C9;Q30KP8;Q30KQ6;Q4QY38;Q96PH6;Q30KQ8;Q9H1M4;Q30KR1;P41597;A8MXU0;P51684;O60603;Q15399;P52961;P01730	Immune System	Antimicrobial peptides	R-HSA-168249
R-HSA-6803204	Q9BRQ8;Q658P3;Q96A56;Q8TAQ5;O15350;Q9Y255;P04637;Q13315;P55957;Q9BXH1;Q13625;Q92793;Q96KQ4;Q07812;O60238;Q13794;O43715;Q9HCN2;Q96N28;Q9H3D4	Gene expression (Transcription)	TP53 Regulates Transcription of Genes Involved in Cytochrome C Release	R-HSA-5633008
R-HSA-6803205	Q92696;P53611;Q92597;P24386;Q53FA7;O15350;P04637;Q13625;O15392;Q96KQ4;P41182;Q9BZR8;Q96FX8;Q9H3D4	Gene expression (Transcription)	TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain	R-HSA-5633008
R-HSA-6803207	Q9NPP4;O15350;P04637;Q13315;P78560;P55212;P42575;O14727;Q92851;Q9HB75;Q9H3D4;P29466	Gene expression (Transcription)	TP53 Regulates Transcription of Caspase Activators and Caspases	R-HSA-5633008
R-HSA-6803211	Q86XT9;Q9UBN6;O15350;P04637;Q13625;Q96KQ4;P17936;P25445;O14763;Q9H3D4;O14798;O00220	Gene expression (Transcription)	TP53 Regulates Transcription of Death Receptors and Ligands	R-HSA-5633008
R-HSA-6803529	P52434;P19388;O43251;P24928;P35269;P61218;P52435;P30876;P26599;O15514;P62487;P62875;P36954;P31943;P52272;P53803;P52298;P19387;P09651;Q6NXG1;P52597;Q9H6T0;P13984;P31483;Q01085;Q09161	Signal Transduction	FGFR2 alternative splicing	R-HSA-5654738
R-HSA-6803544	Q5EBL8;P49279;Q04656;O00244	Immune System	Ion influx/efflux at host-pathogen interface	R-HSA-6803157
R-HSA-6804114	Q14188;P28749;P30307;Q08999;Q96PM9;P12004;P04637;Q14186;P31947;P24522;P14635;O14965;Q99873;Q86X55;P06493;Q07812;Q09472;Q16254	Gene expression (Transcription)	TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest	R-HSA-6791312
R-HSA-6804115	Q9H4B4;Q9UM63;P30307;Q9NYY3;Q9H4X1;P04637;Q9ULM6;Q9NZN8;A5YKK6;O95628;Q9UFF9;Q9HC77;Q92600;O75175;Q9H9A5;Q9UIV1;Q9UKZ1;P78543;Q96LI5;Q9C0C2;P06748	Gene expression (Transcription)	TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain	R-HSA-6791312
R-HSA-6804116	Q96PM9;P04637;O96020;P38936;P24941;Q99856;Q01094;P24864;P46527;A0AVK6;P78396;P20248;Q96AV8;P57723	Gene expression (Transcription)	TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest	R-HSA-6791312
R-HSA-6804754	P04637;O75626	Gene expression (Transcription)	Regulation of TP53 Expression	R-HSA-6806003
R-HSA-6804756	Q92878;P40938;Q9Y5B9;Q9ULW0;Q6WBX8;P15927;P20226;O60671;P21675;Q15545;Q15831;Q92750;Q9HBM6;Q16594;P62987;Q13472;P35249;Q6P1X5;Q96A56;Q96E14;Q5H9L4;Q9H4B4;P62979;P35244;Q9Y3T9;Q9BSD3;Q96S44;Q13526;O75943;P0CG48;Q14191;Q92547;Q99638;P40937;Q92804;Q08945;O00268;P0CG47;Q16514;Q15542;P04637;P27694;Q5VWG9;Q9H9A7;P35250;P49848;P51530;P67870;Q9H2X6;O14965;Q99708;Q13535;Q13315;O43741;P38398;Q13131;O14757;Q9UGJ0;Q00535;Q8WXE1;Q99728;P24941;Q9Y478;Q92630;P19784;P54132;Q15078;O96017;Q9UQ84;O60921;Q9BX63;P78396;P20248;Q96GD4;Q9UGI9;P54619;P54646;O15151;Q15759;Q16539;P49959;Q92993;O60285;Q8IW41;Q00987;Q86Z02;Q12962;Q15544;Q15543;Q8IZX4;O60934;P68400	Gene expression (Transcription)	Regulation of TP53 Activity through Phosphorylation	R-HSA-5633007
R-HSA-6804757	O00141;Q9BVI0;P62714;P62987;Q9BPZ7;Q969K3;P62979;Q8WZ73;P67775;O15530;P0CG48;O75604;P85299;P0CG47;P04637;Q6R327;Q93009;Q13362;Q13315;P06493;P30153;Q9Y243;P31751;P30154;P31749;P24941;P51959;O96017;P78396;Q8N726;P20248;Q9UER7;O15151;Q9BVC4;Q00987;P42345	Gene expression (Transcription)	Regulation of TP53 Degradation	R-HSA-6806003
R-HSA-6804758	Q16576;Q92794;Q86YP4;P29590;Q09028;P04637;Q14839;Q12873;P55201;Q9Y243;P31751;Q9NPI1;P31749;O95696;Q9ULD4;Q9HAF1;Q09472;Q92769;O95983;Q8WYH8;Q13547;Q8WXI9;O94776;Q86T03;Q8TBX8;P78356;Q13526;P48426;P52564;Q9H160	Gene expression (Transcription)	Regulation of TP53 Activity through Acetylation	R-HSA-5633007
R-HSA-6804759	Q9BVI0;Q01851;Q96PM9;O15350;P04637;Q13625;Q9Y243;P31751;Q96KQ4;P31749;Q8N9N5;Q8WUF5;Q12837;Q9H3D4	Gene expression (Transcription)	Regulation of TP53 Activity through Association with Co-factors	R-HSA-5633007
R-HSA-6804760	Q8NE22;P62987;P62979;Q9Y468;P0CG48;P0CG47;P04637;Q9NRG4;Q13315;O96017;Q09472;Q96KQ7;O14744;O15151;Q8N9B5;Q9H9B1;Q9NQR1;Q00987;Q8N0Z6	Gene expression (Transcription)	Regulation of TP53 Activity through Methylation	R-HSA-5633007
R-HSA-6805567	P08779;Q3LI63;Q99569;A8MX34;Q13835;Q3LI70;P0C5Y4;Q9BYR2;P0C7H8;Q2M2I5;P60371;Q9BYR6;Q9BYQ5;Q9BYU5;Q15323;Q3LI66;Q3LHN0;Q3LI59;Q9Y446;Q9NSB4;Q99959;Q14533;P60368;Q9BYQ7;Q07627;Q9BYT5;Q9NSB2;P14923;Q02413;P13645;P59990;Q6A162;P08727;Q7Z3Z0;Q14CN4;P05787;P15924;Q08554;P32926;Q14574;Q02487;Q9BYR9;Q6L8H2;Q6L8G9;Q3LI54;Q9BYQ6;Q3LI76;Q9BYP8;Q3SY46;Q3LI77;Q8N1N4;Q5XKE5;O76011;Q7Z3Y9;P04259;P48668;P08729;Q6L8H1;Q92764;O76013;Q3LHN2;Q9BYQ4;A8MVA2;Q9BYQ3;Q04695;Q7Z4W3;Q52LG2;Q3SYF9;Q9BYQ8;Q8IUC2;Q9BYS1;O95678;Q6PEX3;A1A580;P59991;Q3LI73;Q3LI72;P19013;Q14532;P02533;Q8IUG1;P60328;P60370;Q3LI64;Q9BYR7;Q86SJ6;P35908;Q86Y46;P60329;O75690;Q9BYR5;Q8IUC0;Q7Z3Y8;Q9C075;Q6A163;P26371;Q99456;A8MTY7;P04264;P12035;Q9BYP9;Q9BYQ2;Q3LI61;O76015;P13647;P60412;P60411;P60014;Q701N2;O43790;P78385;P60409;P60331;Q701N4;Q3LHN1;Q14525;P60413;Q3LI58;Q6L8G4;P35527;A8MXZ3;Q3LI83;Q3LI67;P78386;P19012;Q9BYR3;Q9BYQ9;Q9BYQ0;Q3MIV0;P35900;Q7Z794;Q6L8G8;P60372;P60410;Q8IUB9;Q9BYR8;Q6KB66;P13646;Q9BYR0;Q3SY84;P02538;O76009;P05783;A8MUX0;Q6L8G5;Q9BYR4;Q01546;Q7Z3Y7;Q7RTS7;P60369;Q8IUC1;Q6L8H4;O76014;Q3LI81;Q14126;O60437;Q5TCM9;P22531;P35325;Q6XPR3;P22528;Q96RM1;Q9Y5Y6;O43548;P29122;Q674X7;Q9Y337;Q16651;Q5T871;Q5T754;Q5T7P3;Q9BYE3;Q5TA77;P35326;Q9BYE4;Q9UBC9;P35321;P22532;P01040;P07384;Q15517;P31944;P09958;Q5TA76;Q5W064;P20930;Q5T7P2;P07476;P04632;Q5TA82;Q5T751;P19957;Q92817;Q9P0G3;O60259;Q5T752;Q5TA79;Q5VXI9;Q9UKR0;Q5T5A8;Q5TA78;Q5VYY2;Q5DT21;Q5TA81;Q9NQ38;O14633;Q5VXJ0;P23490;Q6UWN8;Q9UKR3;A0A183;Q5T753;Q5T5B0;P22735;Q96FX8;Q07283;P08217	Developmental Biology	Keratinization	R-HSA-1266738
R-HSA-6806003	P04637;O75626;O00141;Q9BVI0;P62714;P62987;Q9BPZ7;Q969K3;P62979;Q8WZ73;P67775;O15530;P0CG48;O75604;P85299;P0CG47;Q6R327;Q93009;Q13362;Q13315;P06493;P30153;Q9Y243;P31751;P30154;P31749;P24941;P51959;O96017;P78396;Q8N726;P20248;Q9UER7;O15151;Q9BVC4;Q00987;P42345	Gene expression (Transcription)	Regulation of TP53 Expression and Degradation	R-HSA-5633007
R-HSA-6806664	Q9BQB6;Q9Y5Z9;Q8N0U8	Metabolism	Metabolism of vitamin K	R-HSA-6806667
R-HSA-6806667	Q9BQB6;Q9Y5Z9;Q8N0U8;P49638;P31431;Q6NUM9;P18827;P50120;P06858;Q14114;Q9Y561;Q6P1J6;P02766;P98160;P34741;O75056;P09455;P02753;P17516;Q8N158;P78333;P06727;O95445;O00468;Q9BYV7;O60218;P02656;P02647;P04118;P35052;P02649;P02652;P04114;P42330;Q04828;Q9Y625;P98164;Q07954;Q8IV16;P16233;P51654;Q7Z4F1;O75487;O95237;P01130;Q8TC12;P02655;Q9HAY6	Metabolism	Metabolism of fat-soluble vitamins	R-HSA-196854
R-HSA-6806834	O43278;P14210;O43291;Q04756;P05981;P08581;Q6VN20;Q96S59;P01111;P01116;Q8N307;P01112;Q07889;P27986;Q13480;P42336;Q06124;P61018;P20338;P46108;P46109;P62330;Q9NZ52;P40763;Q99962;Q99961;P62987;P17706;O75886;P62979;Q12913;P0CG48;Q92783;P18031;P0CG47;Q96B97;Q99963;P22681;P42566;Q96JA1;O14964;P40818;P26006;Q13753;P25391;P24043;P11047;P12931;P25940;P12107;P20908;P02452;P02458;P05997;Q17RW2;P13942;P05556;P02461;Q8IZC6;Q05397;P55268;Q9Y6N6;P17301;P07942;P02751;O15230;Q13751;Q16363;Q16787;P08123;Q8IZW8;Q68CZ2;Q13905;P61224;P62834;P63000;Q96N67	Signal Transduction	Signaling by MET	R-HSA-9006934
R-HSA-6806942	O43278;P14210;O43291;Q04756;P05981;P08581	Signal Transduction	MET Receptor Activation	R-HSA-6806834
R-HSA-6807004	Q99962;Q99961;P62987;P17706;O75886;P62979;P14210;Q12913;P0CG48;Q92783;P18031;P0CG47;Q96B97;Q99963;P22681;P42566;Q96JA1;O14964;P08581;P40818	Signal Transduction	Negative regulation of MET activity	R-HSA-6806834
R-HSA-6807047	O75845;Q15125;Q9UBM7;Q15392	Metabolism	Cholesterol biosynthesis via desmosterol	R-HSA-191273
R-HSA-6807062	O75845;Q15125;Q9UBM7;Q15392	Metabolism	Cholesterol biosynthesis via lathosterol	R-HSA-191273
R-HSA-6807070	Q9NQL2;Q9HB90;Q9UJQ4;O95863;Q8NDX5;Q7L523;P78364;Q8IXK0;Q8NBW4;O43623;Q16576;Q86YP4;Q8WUI4;Q9UKL0;Q99496;Q5VZM2;Q15022;Q9Y466;Q13330;Q13127;Q09028;P04637;Q06587;Q8N122;Q14839;O75530;O15379;Q9UQL6;Q12873;O95503;P35226;P54259;O00257;Q14781;P18146;Q9HC52;Q92769;Q9Y2Q5;Q9UHA4;Q6IAA8;P15336;Q9H063;Q9BVC4;Q0VGL1;P27361;O95983;O43504;Q15910;Q13547;Q9BTC8;P28482;P05412;Q03112;Q8WXI9;P42345;O94776;O60341;Q15382;P37231;P62987;P98170;P62979;P46934;P60484;P29590;P0CG48;P0CG47;Q93009;O43242;P28070;Q9UL46;Q15008;P60896;Q5T2D3;P25789;P62191;Q92995;P17980;O00232;O75832;Q14997;Q16401;P49721;Q92530;P28066;P25787;Q13200;Q99460;O14818;P43686;P49720;P55036;Q8TAA3;P61289;Q70Z35;P35998;A5LHX3;Q06323;P28074;Q9UHC7;Q9UNM6;O00231;P25788;P28062;P40306;P62333;Q9H2K2;P25786;P51665;Q99436;P28072;O00487;P62195;P48556;P60900;P28065;O00233;Q9NTX7;P67870;Q9UNE7;Q9Y243;P31751;P31749;P19784;P42685;O95271;P20618;P14373;O00308;P68400;Q9HCE1;Q9UPQ9;Q9HCJ0;Q8NDV7;Q9H9G7;Q9UL18;Q9HCK5;Q9UKV8	Signal Transduction	PTEN Regulation	R-HSA-1257604
R-HSA-6807505	Q16533;P63272;Q5VT52;Q5SXM2;P52434;Q96AH0;P19388;P20226;Q7Z7C8;Q8IXW5;Q9NP77;P24928;P35269;Q16594;P61218;P52435;P30876;Q9BXP5;Q00403;O15514;Q92966;Q96P16;O75971;P62487;P62875;P36954;O94913;P53803;P52298;P19387;P52655;P52657;Q13487;O00267;Q15542;P09086;Q9H814;Q9BQ15;Q9NQG5;P08047;P49848;O00472;Q96HW7;Q6P9B9;O60583;P50613;P50750;O60563;O75909;Q9HB65;Q9NVR2;Q9UL03;P55199;Q9NVM9;Q9H0H0;Q8N201;Q96SY0;Q659A1;Q9NV88;Q75QN2;Q96CB8;Q5TA45;Q68E01;Q9NVH2;P29084;P13984;P29083;Q9Y2F5;Q15544;Q15543;P14859;Q09161;P52747;Q8N5P1	Gene expression (Transcription)	RNA polymerase II transcribes snRNA genes	R-HSA-73857
R-HSA-6807878	P0DPH7;Q9BQQ3;Q71U36;Q9H4B7;P68366;O15020;A6NHL2;Q01082;Q9BQE3;Q13885;Q13190;P62820;P0DPH8;A6NNZ2;Q9BVK6;Q13813;P04350;Q99747;Q9H0U4;P46459;Q9H853;O15498;Q6PEY2;Q9Y3B3;P49755;Q9NY65;Q9BVA1;Q9BUF5;P54920;P02549;Q9H115;Q9NRC6;P11277;Q9H254;O14579;Q9UP83;O00399;P15328;Q9Y6G9;P13987;P48444;Q9NYM9;Q13561;P18085;O15155;Q12955;P47755;Q8N6T3;Q9NP61;P53621;Q9P299;Q9Y2V7;Q9Y678;P08174;P53618;O14576;P24390;Q96MW5;Q14203;P61163;Q8WTW3;Q9NZ32;P84085;Q01484;Q14204;Q13409;Q96FJ2;P52907;P35606;P61204;O43731;P84077;Q8N6H7;P83436;P01308;P61923;Q9UJW0;Q9UBF2;Q14746;Q96KX2;Q96JB2;Q9BTE1;O43237;P47756;Q9H9E3;Q92538;P33947;P16157;Q08379;Q14789;O14653;O75935;O95249;Q13509;P68363;O60763;Q9Y3Q3;Q3ZCM7;P68371;Q15363;Q12893;P63167	Vesicle-mediated transport;Metabolism of proteins	COPI-mediated anterograde transport	R-HSA-199977
R-HSA-6809371	O60437;P08779;Q5TCM9;P22531;P35325;Q6XPR3;P22528;Q99569;Q96RM1;Q9Y5Y6;O43548;P29122;Q13835;Q2M2I5;Q674X7;Q9Y337;Q15323;Q9Y446;Q16651;Q9NSB4;Q5T871;Q99959;Q5T754;Q5T7P3;Q14533;Q9BYE3;Q5TA77;Q9NSB2;P35326;Q9BYE4;Q9UBC9;P35321;P14923;P22532;Q02413;P13645;P01040;Q6A162;P08727;Q7Z3Z0;Q14CN4;P05787;P15924;P07384;Q08554;P32926;Q14574;Q02487;Q15517;Q8N1N4;Q5XKE5;P31944;O76011;Q7Z3Y9;P04259;P48668;P08729;Q92764;P09958;O76013;Q5TA76;Q5W064;P20930;Q04695;Q5T7P2;P07476;O95678;P04632;P19013;Q14532;P02533;Q5TA82;Q5T751;P19957;Q92817;Q9P0G3;O60259;Q5T752;Q86SJ6;P35908;Q86Y46;Q5TA79;Q5VXI9;Q7Z3Y8;Q9C075;Q6A163;Q9UKR0;Q99456;Q5T5A8;Q5TA78;Q5VYY2;P04264;P12035;Q5DT21;O76015;Q5TA81;P13647;O43790;P78385;Q14525;Q9NQ38;P35527;P78386;O14633;P19012;P35900;Q7Z794;Q5VXJ0;P23490;Q6KB66;Q6UWN8;P13646;Q9UKR3;Q3SY84;P02538;O76009;A0A183;P05783;Q5T753;Q5T5B0;P22735;Q01546;Q7Z3Y7;Q7RTS7;O76014;Q96FX8;Q07283;P08217;Q14126	Developmental Biology	Formation of the cornified envelope	R-HSA-6805567
R-HSA-6809583	P02753	Disease	Retinoid metabolism disease events	R-HSA-2474795
R-HSA-6811434	P0DPH7;P33176;Q71U36;Q9H4B7;O75396;P68366;A6NHL2;O15260;Q9BQE3;Q13885;P62820;P0DPH8;A6NNZ2;Q9BVK6;P04350;Q99747;Q9H0U4;A2RRP1;Q12981;Q07866;Q9ULI4;Q14807;O60333;Q2KJY2;P46459;Q9P2W9;Q9H853;O14782;Q6PEY2;Q9Y3B3;P49755;Q9NY65;Q9BVA1;Q9BUF5;O43264;Q6PKD1;Q66K46;P54920;Q9H115;Q9H0H5;O14579;P48444;P18085;Q8N6T3;Q9NP61;P53621;Q9P299;Q9Y678;P53618;Q02224;P24390;P84085;P35606;P61204;O43896;O43731;P84077;Q8N6H7;Q96L93;Q6ZMV9;O95239;Q9Y496;Q96Q89;Q9HAQ2;P61923;Q9UBF2;Q92538;P33947;Q9UIL4;Q92845;O00139;Q96FN5;Q12840;Q9NS87;Q02241;O75037;Q86Y91;B7ZC32;Q99661;Q9NQT8;P52732;Q86VH2;O15066;Q6P597;Q8NI77;Q8N4N8;Q9H0B6;Q2TAC6;O95235;Q7Z4S6;Q9NSK0;Q9NZ43;Q13509;Q12756;Q2VIQ3;Q96AC6;Q9BW19;P68363;Q9Y3Q3;Q3ZCM7;P68371;Q6NUQ1;Q15363	Vesicle-mediated transport	COPI-dependent Golgi-to-ER retrograde traffic	R-HSA-8856688
R-HSA-6811436	P20340;Q9H2M9;P0DPH7;Q10472;Q71U36;Q9H4B7;P68366;A6NHL2;Q9BQE3;Q9NRZ7;Q13885;P0DPH8;A6NNZ2;P04350;Q15102;P47712;Q9NP72;Q9NRW1;Q15042;Q9H853;Q6PEY2;Q9NY65;Q9BVA1;Q9BUF5;O00399;Q9Y6G9;Q13561;P47755;O14576;Q14203;P61163;Q9NZ32;Q96G01;Q8TD16;Q14204;Q13409;Q96FJ2;P52907;Q10471;Q9UJW0;Q96KX2;Q9BTE1;O43237;P47756;O75935;O60733;P43034;Q13509;P68363;Q3ZCM7;P68371;P68402;P63167	Vesicle-mediated transport	COPI-independent Golgi-to-ER retrograde traffic	R-HSA-8856688
R-HSA-6811438	Q14964;Q4ADV7;O43752;P05187;Q9H082;Q13190;O95721;Q15643;Q99747;P46459;O14662;Q5JT25;O15498;Q96AJ9;O95755;Q15771;P54920;Q9H115;Q92546;Q9UP83;Q9NYM9;Q9UIA0;Q9Y2V7;Q99418;Q15438;Q13948;Q96MW5;Q8WTW3;P84077;P83436;Q8TBA6;O00461;Q14746;O43739;Q96JB2;Q9H9E3;O14653;Q9NR34;P33908;P49641;O60476;O95249;Q9NRW7;Q16706	Vesicle-mediated transport	Intra-Golgi traffic	R-HSA-6811442
R-HSA-6811440	P20340;Q9NP90;Q4ADV7;O43752;P51151;Q9UIL1;Q99747;P46459;Q147X3;Q5VZE5;Q7Z6M1;O14662;Q9NRW1;Q15836;Q9UID3;P82094;Q96AJ9;Q86YS6;O94955;Q8N2H4;O75379;P54920;Q9H115;O60499;Q92546;Q9UP83;Q92805;Q13795;Q9Y2V7;P53365;Q96MW5;Q8WTW3;P83436;Q13439;Q14746;Q96CN9;Q96JB2;P40616;Q9H9E3;Q9BRA0;P20645;Q8IWJ2;P11717;Q92738;O43493;Q8N1B4;Q5VIR6;O60664;Q9P1Q0	Vesicle-mediated transport	Retrograde transport at the Trans-Golgi-Network	R-HSA-6811442
R-HSA-6811442	Q14964;Q4ADV7;O43752;P05187;Q9H082;Q13190;O95721;Q15643;Q99747;P46459;O14662;Q5JT25;O15498;Q96AJ9;O95755;Q15771;P54920;Q9H115;Q92546;Q9UP83;Q9NYM9;Q9UIA0;Q9Y2V7;Q99418;Q15438;Q13948;Q96MW5;Q8WTW3;P84077;P83436;Q8TBA6;O00461;Q14746;O43739;Q96JB2;Q9H9E3;O14653;Q9NR34;P33908;P49641;O60476;O95249;Q9NRW7;Q16706;P20340;Q9NP90;P51151;Q9UIL1;Q147X3;Q5VZE5;Q7Z6M1;Q9NRW1;Q15836;Q9UID3;P82094;Q86YS6;O94955;Q8N2H4;O75379;O60499;Q92805;Q13795;P53365;Q13439;Q96CN9;P40616;Q9BRA0;P20645;Q8IWJ2;P11717;Q92738;O43493;Q8N1B4;Q5VIR6;O60664;Q9P1Q0;P0DPH7;P33176;Q71U36;Q9H4B7;O75396;P68366;A6NHL2;O15260;Q9BQE3;Q13885;P62820;P0DPH8;A6NNZ2;Q9BVK6;P04350;Q9H0U4;A2RRP1;Q12981;Q07866;Q9ULI4;Q14807;O60333;Q2KJY2;Q9P2W9;Q9H853;O14782;Q6PEY2;Q9Y3B3;P49755;Q9NY65;Q9BVA1;Q9BUF5;O43264;Q6PKD1;Q66K46;Q9H0H5;O14579;P48444;P18085;Q8N6T3;Q9NP61;P53621;Q9P299;Q9Y678;P53618;Q02224;P24390;P84085;P35606;P61204;O43896;O43731;Q8N6H7;Q96L93;Q6ZMV9;O95239;Q9Y496;Q96Q89;Q9HAQ2;P61923;Q9UBF2;Q92538;P33947;Q9UIL4;Q92845;O00139;Q96FN5;Q12840;Q9NS87;Q02241;O75037;Q86Y91;B7ZC32;Q99661;Q9NQT8;P52732;Q86VH2;O15066;Q6P597;Q8NI77;Q8N4N8;Q9H0B6;Q2TAC6;O95235;Q7Z4S6;Q9NSK0;Q9NZ43;Q13509;Q12756;Q2VIQ3;Q96AC6;Q9BW19;P68363;Q9Y3Q3;Q3ZCM7;P68371;Q6NUQ1;Q15363;Q9H2M9;Q10472;Q9NRZ7;Q15102;P47712;Q9NP72;Q15042;O00399;Q9Y6G9;Q13561;P47755;O14576;Q14203;P61163;Q9NZ32;Q96G01;Q8TD16;Q14204;Q13409;Q96FJ2;P52907;Q10471;Q9UJW0;Q96KX2;Q9BTE1;O43237;P47756;O75935;O60733;P43034;P68402;P63167	Vesicle-mediated transport	Intra-Golgi and retrograde Golgi-to-ER traffic	R-HSA-199991
R-HSA-6811555	Q86T03;Q8TBX8;P78356;Q13526;P04637;P48426;Q09472;P52564;Q9H160	Gene expression (Transcription)	PI5P Regulates TP53 Acetylation	R-HSA-6804758
